Offense: Offense(ATK: 6, DEF: 2, REV: 6, HP: 10)
Balanced:Balanced(ATK: 5, DEF: 7, REV: 1, HP: 13)
Tank:    Tank(ATK: 2, DEF: 8, REV: 3, HP: 14)

Offense: Offense(ATK: 6, DEF: 2, REV: 4, HP: 11)
Balanced:Balanced(ATK: 5, DEF: 4, REV: 1, HP: 16)
Tank:    Tank(ATK: 2, DEF: 6, REV: 2, HP: 17)

Offense: Offense(ATK: 6, DEF: 5, REV: 5, HP: 10)
Balanced:Balanced(ATK: 5, DEF: 6, REV: 3, HP: 17)
Tank:    Tank(ATK: 3, DEF: 7, REV: 3, HP: 20)

Offense: Offense(ATK: 6, DEF: 3, REV: 3, HP: 9)
Balanced:Balanced(ATK: 4, DEF: 6, REV: 3, HP: 10)
Tank:    Tank(ATK: 2, DEF: 7, REV: 2, HP: 15)

Offense: Offense(ATK: 7, DEF: 4, REV: 4, HP: 9)
Balanced:Balanced(ATK: 4, DEF: 6, REV: 3, HP: 13)
Tank:    Tank(ATK: 3, DEF: 8, REV: 2, HP: 19)

Offense: Offense(ATK: 6, DEF: 3, REV: 5, HP: 12)
Balanced:Balanced(ATK: 5, DEF: 5, REV: 2, HP: 18)
Tank:    Tank(ATK: 2, DEF: 7, REV: 3, HP: 19)

Offense: Offense(ATK: 7, DEF: 2, REV: 7, HP: 13)
Balanced:Balanced(ATK: 3, DEF: 6, REV: 5, HP: 18)
Tank:    Tank(ATK: 2, DEF: 7, REV: 6, HP: 20)

Offense: Offense(ATK: 7, DEF: 3, REV: 7, HP: 12)
Balanced:Balanced(ATK: 5, DEF: 7, REV: 2, HP: 16)
Tank:    Tank(ATK: 2, DEF: 8, REV: 3, HP: 19)

Offense: Offense(ATK: 5, DEF: 4, REV: 3, HP: 7)
Balanced:Balanced(ATK: 4, DEF: 5, REV: 3, HP: 8)
Tank:    Tank(ATK: 2, DEF: 7, REV: 3, HP: 9)

Offense: Offense(ATK: 5, DEF: 3, REV: 7, HP: 7)
Balanced:Balanced(ATK: 4, DEF: 5, REV: 2, HP: 17)
Tank:    Tank(ATK: 2, DEF: 8, REV: 2, HP: 19)

Offense: Offense(ATK: 6, DEF: 4, REV: 6, HP: 9)
Balanced:Balanced(ATK: 4, DEF: 6, REV: 3, HP: 13)
Tank:    Tank(ATK: 3, DEF: 7, REV: 3, HP: 18)

Offense: Offense(ATK: 8, DEF: 3, REV: 3, HP: 12)
Balanced:Balanced(ATK: 5, DEF: 6, REV: 1, HP: 18)
Tank:    Tank(ATK: 2, DEF: 7, REV: 2, HP: 19)

Offense: Offense(ATK: 7, DEF: 2, REV: 4, HP: 12)
Balanced:Balanced(ATK: 5, DEF: 6, REV: 1, HP: 13)
Tank:    Tank(ATK: 2, DEF: 7, REV: 2, HP: 14)

Offense: Offense(ATK: 4, DEF: 4, REV: 5, HP: 11)
Balanced:Balanced(ATK: 3, DEF: 6, REV: 4, HP: 14)
Tank:    Tank(ATK: 2, DEF: 8, REV: 3, HP: 19)

Offense: Offense(ATK: 4, DEF: 2, REV: 7, HP: 10)
Balanced:Balanced(ATK: 3, DEF: 4, REV: 3, HP: 15)
Tank:    Tank(ATK: 2, DEF: 5, REV: 3, HP: 20)

Offense: Offense(ATK: 6, DEF: 4, REV: 7, HP: 9)
Balanced:Balanced(ATK: 5, DEF: 5, REV: 2, HP: 18)
Tank:    Tank(ATK: 2, DEF: 8, REV: 4, HP: 20)

Offense: Offense(ATK: 7, DEF: 5, REV: 5, HP: 11)
Balanced:Balanced(ATK: 4, DEF: 7, REV: 3, HP: 16)
Tank:    Tank(ATK: 3, DEF: 8, REV: 3, HP: 19)

Offense: Offense(ATK: 7, DEF: 2, REV: 7, HP: 12)
Balanced:Balanced(ATK: 5, DEF: 6, REV: 1, HP: 18)
Tank:    Tank(ATK: 3, DEF: 8, REV: 3, HP: 19)

Offense: Offense(ATK: 6, DEF: 4, REV: 8, HP: 11)
Balanced:Balanced(ATK: 5, DEF: 6, REV: 4, HP: 17)
Tank:    Tank(ATK: 3, DEF: 8, REV: 5, HP: 18)

Offense: Offense(ATK: 5, DEF: 4, REV: 7, HP: 15)
Balanced:Balanced(ATK: 4, DEF: 7, REV: 6, HP: 16)
Tank:    Tank(ATK: 3, DEF: 8, REV: 6, HP: 20)

Offense: Offense(ATK: 8, DEF: 2, REV: 1, HP: 14)
Balanced:Balanced(ATK: 5, DEF: 4, REV: 2, HP: 16)
Tank:    Tank(ATK: 2, DEF: 5, REV: 2, HP: 18)

